company,location,education,skills,job_type,salary,job_experience,job_role,min_experience,max_experience,experience_level,skill_count,top_skill,salary_lpa,location_type,primary_city
eClerx,pune,postgraduate,"tableau, data science, r, logistic regression, sas, classification, data analytics, random forest",contract,1825133.0,5-6,Digital-Process Manager-Data Scientist PM,5.0,6.0,Senior,8,tableau,18.25,Onsite,pune
Eli Lilly and Company,"bengaluru,bengaluru",undergraduate,"data reporting, analytical, pharma, healthcare, data integrity, hr, troubleshooting, hplc",contract,902856.0,3-5,Associate Data Scientist,3.0,5.0,Mid,8,data reporting,9.03,Onsite,bengaluru
Revnomix Solutions LLP,"mumbai, pune, mumbai ",undergraduate,"python, django, java, mysql, it skills, data science, cloud, javascript",full-time,572639.0,5-6,Senior Data Scientist,5.0,6.0,Senior,8,python,5.73,Onsite,mumbai
novo,"gurugram,gurugram",postgraduate,"data management, data science, cash flow, data analytics, big data, business banking, analytics, sql",full-time,1911490.0,2-4,Senior Data Scientist,2.0,4.0,Mid,8,data management,19.11,Onsite,gurugram
Sejal Consulting Hub,remote,undergraduate,"data analysis, c++, data visualization, advanced excel, tableau, python",contract,1835512.0,5-6,Junior Data Analyst/ Scientist- Fresher Position,5.0,6.0,Senior,6,data analysis,18.36,Remote,remote
Accenture,"bengaluru,bengaluru",undergraduate,"sas, consulting, programming, life sciences, pharmacovigilance, cognos, project initiation, clinical trials",full-time,453951.0,6-8,Sr. Clinical Data Programming Scientist,6.0,8.0,Senior,8,sas,4.54,Onsite,bengaluru
Pfizer,chennai,postgraduate,"data management, edc, clinical trials, data collection, clinical research, data quality, licensing, monitoring",contract,895081.0,1-7,"Manager, Senior Clinical Data Scientist, Clinical Data Sciences",1.0,7.0,Senior,8,data management,8.95,Onsite,chennai
Michelin,pune,undergraduate,"supply chain, text mining, data management, manager technology, data quality, mathematics, network management, big data",contract,367683.0,6-7,Senior Data Scientist,6.0,7.0,Senior,8,supply chain,3.68,Onsite,pune
eClerx,pune,undergraduate,"tableau, data science, r, logistic regression, sas, classification, image analytics, data analytics",contract,1912489.0,7-8,Digital-Senior Process Manager- Data Scientist SPM,7.0,8.0,Senior,8,tableau,19.12,Onsite,pune
MNR Solutions Pvt. Ltd.,"pune, bengaluru,bengaluru",unknown,"computer vision, pdf, data manipulation, machine learning, data visualization, executive search, data mining, big data",full-time,1899161.0,0-1,Data Scientist,0.0,1.0,Entry,8,computer vision,18.99,Onsite,pune
Teq Analytics,"bengaluru,bengaluru, delhi , ncr, mumbai ",postgraduate,"deployment, tableau, machine learning, etl automation, gcp cloud, it skills, python, data science",contract,1940902.0,4-5,Data Scientist - Machine learning AI,4.0,5.0,Mid,8,deployment,19.41,Onsite,bengaluru
String Bio,"bengaluru,bengaluru",postgraduate,"computer science, c++, operations research, analytical, machine learning, data collection, data mining, business intelligence",full-time,1185086.0,2-4,DATA SCIENTIST,2.0,4.0,Mid,8,computer science,11.85,Onsite,bengaluru
Target,"bengaluru,bengaluru",undergraduate,"automation, product engineering, operations research, machine learning, agile, data structures, digital marketing, open source",contract,1956620.0,0-2,Principal Data Scientist - Digital Marketing,0.0,2.0,Entry,8,automation,19.57,Onsite,bengaluru
Tesco Bengaluru,"bengaluru,bengaluru",undergraduate,"microstrategy, business services, analytical, machine learning, stakeholder management, analytics, sql, python",contract,1063887.0,1-2,Manager Applied Data Scientist,1.0,2.0,Entry,8,microstrategy,10.64,Onsite,bengaluru
Sportism,chennai,postgraduate,"machine learning, tensorflow, bigquery, sap, power bi, hadoop, big data, tableau",full-time,1876255.0,6-8,Sr Data Scientist and Engineer,6.0,8.0,Senior,8,machine learning,18.76,Onsite,chennai
Connexions,"gurugram,gurugram",undergraduate,"python, pyspark, credit risk modeling, credit card firm, hadoop, lgd, sql, r",contract,303800.0,4-6,Data Scientist/ Sr Data Scientist,4.0,6.0,Senior,8,python,3.04,Onsite,gurugram
Pfizer,mumbai,postgraduate,"computer science, networking, pharma, machine learning, javascript, agile, workflow, html",contract,1090761.0,7-8,"Manager, Lead Data Scientist (R CoE)",7.0,8.0,Senior,8,computer science,10.91,Onsite,mumbai
IBM,"bengaluru,bengaluru",postgraduate,"training, enterprise applications, artificial intelligence, investigation, open source, watson discovery, deployment",contract,668350.0,2-4,Data Scientist: Artificial Intelligence,2.0,4.0,Mid,7,training,6.68,Onsite,bengaluru
Barclays Shared Services (BSS),noida,postgraduate,"python, predictive modeling, data scientist, model deployment, machine learning",full-time,2342246.0,5-7,Data Scientist (AVP & Manager Roles),5.0,7.0,Senior,5,python,23.42,Onsite,noida
UPL,"bengaluru,bengaluru, mumbai ",undergraduate,"team management, mlt, machine learning, python, digital analytics, data analysis, data science, aws",contract,1098406.0,2-7,Principal Data Scientist,2.0,7.0,Senior,8,team management,10.98,Onsite,bengaluru
Genpact,"hyderabad,hyderabad, bengaluru,bengaluru, delhi , ncr",undergraduate,"aws, it skills, python, testing, data science, machine learning, naive bayes, decision tree",full-time,2276730.0,5-7,Data Scientist,5.0,7.0,Senior,8,aws,22.77,Onsite,hyderabad
IBM,"bengaluru,bengaluru",undergraduate,"interpersonal skills, data science, consulting, machine learning, open source, training, advanced analytics, circuit designing",contract,382994.0,2-3,Data Scientist: Advanced Analytics,2.0,3.0,Mid,8,interpersonal skills,3.83,Onsite,bengaluru
IBM,"bengaluru,bengaluru",postgraduate,"data migration, maximo, enterprise applications, artificial intelligence, open source, maximo implementation, maximo data model, maximo data migration",contract,1020437.0,7-8,Data Scientist: Artificial Intelligence,7.0,8.0,Senior,8,data migration,10.2,Onsite,bengaluru
INOVARTECH PRIVATE LIMITED,"hyderabad,hyderabad",postgraduate,"power bi, hdinsight, emr, etl, big data ecosystem, glue, dataflow, oozie",contract,2351816.0,3-6,"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)",3.0,6.0,Senior,8,power bi,23.52,Onsite,hyderabad
SKILLVENTORY,"bengaluru,bengaluru",undergraduate,"pytorch, tensorflow, data science, pyspark, presto, classification, time series, machine learning",full-time,2003146.0,0-2,VP-Data Scientist-AI/ML with Leading Investment Bank,0.0,2.0,Entry,8,pytorch,20.03,Onsite,bengaluru
Walmart,"bengaluru,bengaluru",undergraduate,"it skills, testing, data science, machine learning, cloud, big data, text mining, neural networks",full-time,1981076.0,5-7,Senior Data Scientist,5.0,7.0,Senior,8,it skills,19.81,Onsite,bengaluru
IBM,"bengaluru,bengaluru",undergraduate,"automation, consulting, machine learning, analytics, salesforce, it skills, azure, ivr",contract,1212303.0,4-5,Cognitive/AI Senior Data Scientist,4.0,5.0,Mid,8,automation,12.12,Onsite,bengaluru
Tesco,"bengaluru,bengaluru",unknown,"python, tableau, sql",contract,1062128.0,4-5,Analyst - Applied Data Scientist,4.0,5.0,Mid,3,python,10.62,Onsite,bengaluru
Mavenir,"bengaluru,bengaluru",undergraduate,"machine learning, python, it skills, software development, data science, cloud, logistic regression, nosql",contract,340889.0,7-8,Research Data Scientist,7.0,8.0,Senior,8,machine learning,3.41,Onsite,bengaluru
Aaum Research and Analytics Private Limited,chennai,postgraduate,"statistical modeling, r program",contract,1323267.0,1-7,Freshers For Junior Data Scientist,1.0,7.0,Senior,2,statistical modeling,13.23,Onsite,chennai
Applied Materials,"bengaluru,bengaluru",postgraduate,"data science, java, business intelligence, r, visualization, business analytics, sql server, tableau",contract,1248564.0,6-8,Lead - Data Scientist,6.0,8.0,Senior,8,data science,12.49,Onsite,bengaluru
Deutsche Bank,"bengaluru,bengaluru",unknown,"data analysis, wealth management, coding, project management, analytical, anti money laundering, cash management, financial services",full-time,1330093.0,0-7,Data Scientist / Analyst,0.0,7.0,Senior,8,data analysis,13.3,Onsite,bengaluru
CarbyneTech India,"hyderabad,hyderabad",postgraduate,"machine learning, data science, r, apics, nlp, artificial intelligence, data management, python",contract,1916189.0,1-2,Data Scientist - Machine Learning/APICS,1.0,2.0,Entry,8,machine learning,19.16,Onsite,hyderabad
Vasta Bio-informatics Pvt ltd,"thane, panvel, navi mumbai",postgraduate,"python, regression, data visualization, machine learning, sql, power bi, data manipulation, sql querying",contract,746833.0,0-2,Data Scientist,0.0,2.0,Entry,8,python,7.47,Onsite,thane
Huquo Consulting Pvt. Ltd,"gurugram,gurugram, bengaluru,bengaluru",undergraduate,"r, sas, data scientist, analytics, analytical skills, machine learning",full-time,538945.0,1-7,Assistant Manager/Manager/Senior Manager - Data Scientist,1.0,7.0,Senior,6,r,5.39,Onsite,gurugram
AVTAR Career Creators,chennai,postgraduate,"data science, data scientist, data analysis, data analytics, data analyst, python, r, sql",contract,1907193.0,5-7,Senior Data Scientist,5.0,7.0,Senior,8,data science,19.07,Onsite,chennai
HCL Technologies,"delhi , ncr",postgraduate,"machine learning, python, caffe, torch, opencv, tensorflow, theano, cudnn",full-time,1414623.5,5-7,Job Opportunity || Data Scientist || HCL Technologies,5.0,7.0,Senior,8,machine learning,14.15,Onsite,delhi
Accenture,"bengaluru,bengaluru",postgraduate,"sas, data management, consulting, life sciences, sql, it skills, cloud, statistical programming",contract,475888.0,5-6,Clinical Data Management Scientist,5.0,6.0,Senior,8,sas,4.76,Onsite,bengaluru
IBM,kolkata,undergraduate,"interpersonal skills, data science, consulting, machine learning, open source, it skills, training, advanced analytics",full-time,1313957.0,7-8,Data Scientist: Advanced Analytics,7.0,8.0,Senior,8,interpersonal skills,13.14,Onsite,kolkata
KONE,pune,postgraduate,"python, r, sql, it skills, cloud, devops, aws, data visualization",contract,1515035.0,5-7,Data Scientist - KONE India Pvt. LTD,5.0,7.0,Senior,8,python,15.15,Onsite,pune
Ericsson,noida,undergraduate,"graphics, bidding, data management, php, html, microsoft, data mining, business intelligence",contract,1293498.0,3-5,Data Scientist,3.0,5.0,Mid,8,graphics,12.93,Onsite,noida
Maestro Headhunters LLP,mumbai,undergraduate,"senior data scientist, regression, text mining, clustering, machine learning, java, c++, c",contract,1807014.0,7-8,Data Scientist - Leading Analytics Product Company in Mumbai,7.0,8.0,Senior,8,senior data scientist,18.07,Onsite,mumbai
TRH Consultancy Services,greater noida,postgraduate,"python, r, data scientist, artificial intelligence, data mining, machine learning, phd, sql",contract,1066198.0,4-5,Data Scientist - R/Python,4.0,5.0,Mid,8,python,10.66,Onsite,greater noida
Axcess Consultancy Services,"hyderabad,hyderabad",postgraduate,"machine learning, data science, data pipeline, data scientist, cloud, data management, tableau, algorithm",contract,798013.0,1-3,Data Scientist - Machine Learning,1.0,3.0,Mid,8,machine learning,7.98,Onsite,hyderabad
Invesco,"hyderabad,hyderabad",undergraduate,"analytical project management, predictive model, data management, data mining, data cleansing, data visualization, statistical data analysis, svm",contract,1735330.0,7-8,Sr. Data Scientist,7.0,8.0,Senior,8,analytical project management,17.35,Onsite,hyderabad
Accumed Practice Management DMCC,chennai,postgraduate,"conceptual modelling, natural language processing, machine learning, predictive modelling, hypothesis testing. experience working on building an ai conversation voice chatbot, it skills, python, testing",contract,2063415.0,4-7,Sr. Data Scientist,4.0,7.0,Senior,8,conceptual modelling,20.63,Onsite,chennai
ContractPodAi,mumbai,postgraduate,"cloud computing, simulation, agile scrum, contract management, neural networks, analytical, machine learning, predictive modeling",full-time,411105.0,4-6,Senior Data Scientist,4.0,6.0,Senior,8,cloud computing,4.11,Onsite,mumbai
eClerx,pune,undergraduate,"data visualization tools, it skills, python, data science, project management, tableau, bpo, project management",contract,1827521.0,1-7,Digital-Senior Process Manager- Data Scientist SPM,1.0,7.0,Senior,8,data visualization tools,18.28,Onsite,pune
ICERTIS Solutions,pune,postgraduate,"it skills, python, data science, machine learning, artificial intelligence, cloud, text mining, cloud computing",contract,1291955.0,4-6,Senior Data Scientist,4.0,6.0,Senior,8,it skills,12.92,Onsite,pune
Oportun Inc,chennai,postgraduate,"computer science, administration, logistic regression, sas, coding, mis, intellectual property, financial services",full-time,1414623.5,6-7,Sr Data Scientist,6.0,7.0,Senior,8,computer science,14.15,Onsite,chennai
PayPal,chennai,unknown,"unix, operations research, sas, data management, risk analytics, project management, data collection, data mining",contract,853890.0,4-7,Data Scientist,4.0,7.0,Senior,8,unix,8.54,Onsite,chennai
TransOrg Solutions Services (P) Ltd.,"noida, delhi, gurugram,gurugram, delhi , ncr, mumbai ",postgraduate,"machine learning, python, sql, r, logistic regression, computer science, client servicing, data analysis",full-time,1370878.0,3-5,Data Scientist/ Analyst Specialist,3.0,5.0,Mid,8,machine learning,13.71,Onsite,noida
2Coms,"bengaluru,bengaluru, bengaluru north",undergraduate,data scientist,contract,1811183.0,1-4,Data Scientist (freelance),1.0,4.0,Mid,1,data scientist,18.11,Onsite,bengaluru
M/S NILE,"bengaluru,bengaluru",postgraduate,"java, python, nlp, mysql, machine learning, deep learning",full-time,959132.0,4-5,Data Scientist,4.0,5.0,Mid,6,java,9.59,Onsite,bengaluru
ZOLVE INNOVATIONS PRIVATE LIMITED,"bengaluru,bengaluru",undergraduate,"data science, pyspark, algorithms, machine learning, deep learning",full-time,1134906.0,1-7,Data Scientist,1.0,7.0,Senior,5,data science,11.35,Onsite,bengaluru
Rolls Royce,"bengaluru,bengaluru",postgraduate,"matplotlib, azure, git, linux, docker, pandas, python",contract,1900421.0,4-6,Rolls-Royce Data Labs : Data Scientist,4.0,6.0,Senior,7,matplotlib,19.0,Onsite,bengaluru
Applied Materials,"bengaluru,bengaluru",postgraduate,"data science, cnn, lstm, numpy, machine learning, deep learning, pytorch, pandas",contract,361796.0,2-5,Data Scientist,2.0,5.0,Mid,8,data science,3.62,Onsite,bengaluru
Walmart,"bengaluru,bengaluru",postgraduate,"product management, data analysis, image processing, machine learning, agile, data quality, application architecture, sql",contract,1575399.0,4-5,Staff Data Scientist,4.0,5.0,Mid,8,product management,15.75,Onsite,bengaluru
VISA,"bengaluru,bengaluru",undergraduate,"hadoop, it skills, data science, computer science, operations research, interpersonal skills, risk analytics, scala",contract,1900813.0,6-8,Data Scientist,6.0,8.0,Senior,8,hadoop,19.01,Onsite,bengaluru
IBM,"bengaluru,bengaluru",undergraduate,"scheduling, big data, unix shell scripting, sql, python, automation, interpersonal skills, artificial intelligence",contract,1100045.0,1-6,Data Scientist: Artificial Intelligence,1.0,6.0,Senior,8,scheduling,11.0,Onsite,bengaluru
IBM,"bengaluru,bengaluru",unknown,"scheduling, big data, unix shell scripting, sql, python, automation, interpersonal skills, artificial intelligence",contract,2315612.0,3-4,Data Scientist: Artificial Intelligence,3.0,4.0,Mid,8,scheduling,23.16,Onsite,bengaluru
Walmart,"bengaluru,bengaluru",postgraduate,"it skills, data science, machine learning, big data, text mining, computer vision, publishing, web analytics",full-time,2408342.0,0-4,Staff Data Scientist,0.0,4.0,Mid,8,it skills,24.08,Onsite,bengaluru
CRED,"bengaluru,bengaluru",undergraduate,"health insurance, data analysis, statistical modeling, data science, machine learning, scala, programming, information retrieval",contract,1111187.0,4-7,Data Scientist,4.0,7.0,Senior,8,health insurance,11.11,Onsite,bengaluru
Leading US MNC into Analytics,"gurugram,gurugram, bengaluru,bengaluru, delhi , ncr",undergraduate,"machine learning, it skills, data science, python, nlp",contract,1543466.0,7-8,Data Scientist / Machine learning Engineer- Python/NLP,7.0,8.0,Senior,5,machine learning,15.43,Onsite,gurugram
BLEND360 INDIA PRIVATE LIMITED,"hyderabad,hyderabad",undergraduate,"data scientist, market mix modelling, it skills, python, data science, cloud, aws, digital marketing",contract,1654630.0,0-7,Senior/ Lead Data Scientist - Market Mix Modelling ( MMM),0.0,7.0,Senior,8,data scientist,16.55,Onsite,hyderabad
IBM,mumbai,postgraduate,"consulting, machine learning, healthcare, presales, python, automation, data science, analytical",contract,601318.0,5-7,Data Scientist-Client Engineering,5.0,7.0,Senior,8,consulting,6.01,Onsite,mumbai
HUDSON'S BAY SERVICES PRIVATE LIMITED,"bengaluru,bengaluru",undergraduate,"python, machine learning, artificial intelligence",full-time,2226304.0,4-6,Sr. Data Scientist,4.0,6.0,Senior,3,python,22.26,Onsite,bengaluru
Target,"bengaluru,bengaluru",undergraduate,"supply chain, computer science, data analysis, simulation, machine learning, open source, data mining, sql",full-time,509245.0,2-3,Sr Data Scientist,2.0,3.0,Mid,8,supply chain,5.09,Onsite,bengaluru
Knowledge Foundry Business Solutions Pvt. Ltd.,"bengaluru,bengaluru",postgraduate,"python, web framework, machine learning, tensorflow, django, neural networks, flask, artificial intelligence",full-time,802472.0,7-8,Senior Data Scientist -Python+ML(5-7 years),7.0,8.0,Senior,8,python,8.02,Onsite,bengaluru
Hanu Software Solutions,"bengaluru,bengaluru, delhi , ncr, mumbai ",postgraduate,"data science, artificial intelligence, azure, it skills, python, machine learning, cloud, big data",full-time,1166567.0,3-5,Hiring Senior Data Scientist - AI ( Remote) || Hanu,3.0,5.0,Mid,8,data science,11.67,Onsite,bengaluru
Course5,"bengaluru,bengaluru, mumbai ",undergraduate,"statistics, supply chain, gcp, aws",contract,1469441.0,6-7,Senior Data Scientist,6.0,7.0,Senior,4,statistics,14.69,Onsite,bengaluru
PayU,"gurugram,gurugram, bengaluru,bengaluru, mumbai ",postgraduate,"python, django, pytorch, text mining, predictive analytics, pattern recognition, natural language processing, data mining",contract,1184512.0,0-6,Data Scientist Opportunity with PayU - Diversity Hiring,0.0,6.0,Senior,8,python,11.85,Onsite,gurugram
PayPal,"bengaluru,bengaluru",postgraduate,"data analysis, sales operations, consulting, machine learning, data mining, operations, analytics, financial services",contract,918770.0,6-8,Data Scientist 1,6.0,8.0,Senior,8,data analysis,9.19,Onsite,bengaluru
IBM,"bengaluru,bengaluru",undergraduate,"ivr, enterprise applications, open source, lex, python, aws services, dynamo db, analytical",full-time,1855589.0,1-5,Data Scientist: Advanced Analytics,1.0,5.0,Mid,8,ivr,18.56,Onsite,bengaluru
IBM,"bengaluru,bengaluru",undergraduate,"interpersonal skills, javascript, open source, lex, python, advanced analytics, architecture, investigation",contract,1404951.0,7-8,Data Scientist: Advanced Analytics,7.0,8.0,Senior,8,interpersonal skills,14.05,Onsite,bengaluru
IBM,"bengaluru,bengaluru",undergraduate,"enterprise applications, open source, aws, analytics, lex, it skills, automation testing, artificial intelligence",full-time,2097745.0,2-3,Data Scientist: Artificial Intelligence,2.0,3.0,Mid,8,enterprise applications,20.98,Onsite,bengaluru
IBM,"bengaluru,bengaluru",postgraduate,"ivr, enterprise applications, artificial intelligence, open source, python, it skills, java, aws",contract,912923.0,1-3,Data Scientist: Artificial Intelligence,1.0,3.0,Mid,8,ivr,9.13,Onsite,bengaluru
Ashkom Media India Private Limited,"noida, bengaluru,bengaluru",postgraduate,"cloud, hive, python, hadoop, big data",contract,1327000.0,5-6,Data Scientist,5.0,6.0,Senior,5,cloud,13.27,Onsite,noida
IDFC FIRST Bank,"mumbai, pune, bengaluru,bengaluru, mumbai",unknown,"economics, stats graduate, data scientist, machine learning eng",full-time,2499934.0,0-1,Associate Data Scientist,0.0,1.0,Entry,4,economics,25.0,Onsite,mumbai
eClerx,pune,undergraduate,"data scientist, it skills, project management, bpo, project management, auditing, travel, story telling",contract,1414623.5,5-6,Digital-Associate Process Manager - Data Scientist APM,5.0,6.0,Senior,8,data scientist,14.15,Onsite,pune
Master Mind Consultancy,"mumbai, bengaluru,bengaluru",unknown,"data science, azure, nlp, algorithms, data scientist, cloud, aws, python",contract,1414623.5,5-6,Data Scientist,5.0,6.0,Senior,8,data science,14.15,Onsite,mumbai
cliqhr.com,"bengaluru,bengaluru",undergraduate,"data mining, , r, tableau, communication, sql, c++, python",full-time,487335.0,2-6,Data Scientist,2.0,6.0,Senior,7,data mining,4.87,Onsite,bengaluru
Hucon Solutions,"bengaluru,bengaluru",unknown,"data analysis, analytics, data modeling, it skills, machine learning, tableau analytics, r, sql",contract,621090.0,5-7,Data Scientist,5.0,7.0,Senior,8,data analysis,6.21,Onsite,bengaluru
cliqhr.com,"bengaluru,bengaluru",undergraduate,"sql, analytical, python, tableau, communication, data mining, hadoop, r",contract,2498426.0,4-5,Data Scientist,4.0,5.0,Mid,8,sql,24.98,Onsite,bengaluru
Target,"bengaluru,bengaluru",postgraduate,"supply chain, computer science, data analysis, simulation, machine learning, open source, data mining, sql",full-time,1919709.0,7-8,Lead Data Scientist,7.0,8.0,Senior,8,supply chain,19.2,Onsite,bengaluru
TransOrg Solutions Services (P) Ltd.,"bengaluru,bengaluru, delhi , ncr, mumbai ",undergraduate,"r, python, sql, data science, data manipulation, artificial intelligence, linear regression, machine learning",contract,2416914.0,5-7,Lead Data Scientist,5.0,7.0,Senior,8,r,24.17,Onsite,bengaluru
PRUDENT GLOBALTECH SOLUTIONS PRIVATE LIMITED,"hyderabad,hyderabad",postgraduate,"python, it skills, testing, data science, cloud, aws, azure, pytorch",contract,1552344.0,2-4,Data Scientist,2.0,4.0,Mid,8,python,15.52,Onsite,hyderabad
Snaphunt,"gurugram,gurugram",postgraduate,"data analysis, data mining, artificial neural networks, python, r, predictive modeling, segmentation, machine learning",full-time,1903602.0,0-6,Junior Data Scientist,0.0,6.0,Senior,8,data analysis,19.04,Onsite,gurugram
EASY DATA ANALYTICS TECHNOLOGY PRIVATE LIMITED,noida,undergraduate,"data science, hypothesis testing, text mining, powerbi, r, tableau, glm algorithms, sql",contract,523046.0,6-8,Junior Data Scientist,6.0,8.0,Senior,8,data science,5.23,Onsite,noida
Huquo Consulting Pvt. Ltd,"gurugram,gurugram, bengaluru,bengaluru",undergraduate,"machine learning, data science, sas, data scientist, statistics, analytics, sql",full-time,1439995.0,5-6,Assistant Manager/Manager/Senior Manager - Data Scientist,5.0,6.0,Senior,7,machine learning,14.4,Onsite,gurugram
2Coms,"mumbai, mumbai",undergraduate,"it skills, java, python, machine learning, javascript, data scientist",contract,1397068.0,7-8,Data Scientist (freelance),7.0,8.0,Senior,6,it skills,13.97,Onsite,mumbai
AutomationEdge,pune,undergraduate,"training, deep learning, backend, linux, artificial intelligence, machine learning, transformers, deployment",full-time,2059214.0,3-4,Data Scientist,3.0,4.0,Mid,8,training,20.59,Onsite,pune
Liases Foras Real Estate Rating and Research Private Limited,mumbai suburban,postgraduate,"python, sql, hadoop administration, hive, periscope, spark, machine learning",contract,2176509.0,7-8,Data Scientist,7.0,8.0,Senior,7,python,21.77,Onsite,mumbai suburban
Groupon,"bengaluru,bengaluru",postgraduate,"aws services, data science, nlp, neural networks, data analysis, data mining, machine learning, deep learning",contract,1540005.0,5-7,Data Scientist II,5.0,7.0,Senior,8,aws services,15.4,Onsite,bengaluru
ICAV Tech Pvt. Ltd.,remote,undergraduate,"java, r, python, it skills, software development, testing, quality assurance, javascript",contract,633476.0,1-7,Python Developer(Data Scientist),1.0,7.0,Senior,8,java,6.33,Remote,remote
