Company,Location,education,Skills/Description,job_type,salary,Job Experience,Job_Role
Sportism,Chennai,pg,"machine learning, Tensorflow, BigQuery, SAP, Power BI, Hadoop, Big Data, Tableau",full-time,1876255.0,5-8,Sr Data Scientist and Engineer
Connexions,Gurgaon/Gurugram,ug,"Python, Pyspark, credit risk modeling, credit card firm, Hadoop, LGD, SQL, R",,303800.0,2-6,Data Scientist/ Sr Data Scientist
Pfizer,Mumbai,PG,"Computer science, Networking, Pharma, Machine learning, Javascript, Agile, Workflow, HTML",contract,1090761.0,6-8,"Manager, Lead Data Scientist (R CoE)"
IBM,Bangalore/Bengaluru,pg,"Training, Enterprise applications, Artificial Intelligence, Investigation, Open source, Watson discovery, Deployment",contract,668350.0,3-7,Data Scientist: Artificial Intelligence
Barclays Shared Services (BSS),Noida,Post-graduate,"Python, Predictive Modeling, Data Scientist, Model Deployment, Machine Learning",full-time,2342246.0,3-8,Data Scientist (AVP & Manager Roles)
UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",Under-graduate,"Team Management, MLT, machine learning, Python, digital analytics, data analysis, data science, AWS",,1098406.0,12-16,Principal Data Scientist
Genpact,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",ug,"AWS, IT Skills, Python, Testing, Data Science, Machine Learning, Naive Bayes, Decision Tree",full-time,2276730.0,5-8,Data Scientist
IBM,Bangalore/Bengaluru,UG,"Interpersonal skills, data science, Consulting, Machine learning, Open source, Training, advanced analytics, Circuit designing",contract,382994.0,2-5,Data Scientist: Advanced Analytics
IBM,Bangalore/Bengaluru,pg,"Data migration, Maximo, Enterprise applications, Artificial Intelligence, Open source, Maximo Implementation, Maximo data model, Maximo data migration",contract,1020437.0,3-7,Data Scientist: Artificial Intelligence
INOVARTECH PRIVATE LIMITED,Hyderabad/Secunderabad(Nanakramguda),PG,"Power Bi, HDInsight, EMR, ETL, Big Data ecosystem, Glue, Dataflow, Oozie",contract,2351816.0,7-12,"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)"
SKILLVENTORY,Bangalore/Bengaluru,Under-graduate,"Pytorch, Tensorflow, Data Science, Pyspark, Presto, Classification, Time Series, Machine Learning",full-time,2003146.0,8-12,VP-Data Scientist-AI/ML with Leading Investment Bank
Walmart,Bangalore/Bengaluru,Under-graduate,"IT Skills, Testing, Data Science, Machine Learning, Cloud, Big Data, Text mining, Neural networks",full-time,1981076.0,5-10,Senior Data Scientist
IBM,Bangalore/Bengaluru,ug,"Automation, Consulting, Machine learning, Analytics, Salesforce, IT Skills, Azure, IVR",,1212303.0,4-8,Cognitive/AI Senior Data Scientist
Tesco,Bangalore/Bengaluru,,"python, Tableau, SQL",contract,1062128.0,1-2,Analyst - Applied Data Scientist
Mavenir,Bangalore/Bengaluru,ug,"Machine Learning, Python, IT Skills, Software Development, Data Science, Cloud, Logistic Regression, NoSQL",contract,340889.0,4-9,Research Data Scientist
Aaum Research and Analytics Private Limited,Chennai,Post-graduate,"Statistical Modeling, R Program",contract,1323267.0,0-1,Freshers For Junior Data Scientist
Applied Materials,Bangalore/Bengaluru,PG,"data science, Java, Business Intelligence, R, visualization, Business Analytics, SQL Server, Tableau",contract,1248564.0,10-15,Lead - Data Scientist
Deutsche Bank,Bangalore/Bengaluru,,"Data analysis, Wealth management, Coding, Project management, Analytical, Anti money laundering, Cash management, Financial services",full-time,1330093.0,2-6,Data Scientist / Analyst
CarbyneTech India,Hyderabad/Secunderabad,PG,"Machine Learning, Data Science, R, APICS, NLP, Artificial Intelligence, Data Management, Python",contract,1916189.0,3-8,Data Scientist - Machine Learning/APICS
Vasta Bio-informatics Pvt ltd,"Thane, Panvel, Navi Mumbai",PG,"python, Regression, Data Visualization, machine learning, SQL, Power Bi, Data Manipulation, Sql Querying",contract,746833.0,4-9,Data Scientist
Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",UG,"R, SAS, Data Scientist, analytics, analytical skills, Machine Learning",full-time,538945.0,2-7,Assistant Manager/Manager/Senior Manager - Data Scientist
AVTAR Career Creators,Chennai,pg,"Data Science, Data Scientist, Data Analysis, Data Analytics, data analyst, Python, R, SQL",,1907193.0,4-6,Senior Data Scientist
HCL Technologies,Delhi / NCR,pg,"machine learning, Python, Caffe, Torch, OpenCV, Tensorflow, Theano, CuDNN",full-time,,2-7,Job Opportunity || Data Scientist || HCL Technologies
Accenture,Bangalore/Bengaluru,Post-graduate,"SAS, Data management, Consulting, Life sciences, SQL, IT Skills, Cloud, Statistical programming",contract,475888.0,5-8,Clinical Data Management Scientist
IBM,Kolkata,Under-graduate,"Interpersonal skills, data science, Consulting, Machine learning, Open source, IT Skills, Training, advanced analytics",full-time,1313957.0,2-5,Data Scientist: Advanced Analytics
KONE,Pune,PG,"python, R, SQL, IT Skills, Cloud, DevOps, AWS, Data Visualization",contract,1515035.0,4-6,Data Scientist - KONE India Pvt. LTD
Ericsson,Noida,UG,"Graphics, Bidding, Data management, PHP, HTML, microsoft, Data mining, Business intelligence",,1293498.0,5-8,Data Scientist
Maestro Headhunters LLP,Mumbai,ug,"Senior Data Scientist, Regression, Text Mining, Clustering, Machine Learning, Java, C++, C",contract,1807014.0,3-8,Data Scientist - Leading Analytics Product Company in Mumbai
TRH Consultancy Services,Greater Noida,pg,"Python, R, Data Scientist, Artificial Intelligence, Data Mining, Machine Learning, PhD, SQL",contract,1066198.0,5-10,Data Scientist - R/Python
Axcess Consultancy Services,Hyderabad/Secunderabad,Post-graduate,"Machine Learning, Data Science, Data Pipeline, Data Scientist, Cloud, Data Management, Tableau, Algorithm",contract,798013.0,5-10,Data Scientist - Machine Learning
Invesco,Hyderabad/Secunderabad,ug,"analytical project management, predictive model, Data Management, Data Mining, Data Cleansing, Data Visualization, Statistical Data Analysis, SVM",contract,1735330.0,5-10,Sr. Data Scientist
Accumed Practice Management DMCC,Chennai,PG,"Conceptual modelling, Natural Language Processing, Machine learning, Predictive modelling, Hypothesis testing. -experience working on building an AI Conversation Voice Chatbot, IT Skills, Python, Testing",contract,2063415.0,6-8,Sr. Data Scientist
ContractPodAi,Mumbai,PG,"Cloud computing, Simulation, Agile scrum, Contract management, Neural networks, Analytical, Machine learning, Predictive modeling",full-time,411105.0,5-9,Senior Data Scientist
eClerx,Pune,ug,"data visualization tools, IT Skills, Python, Data Science, Project Management, Tableau, BPO, project management",contract,1827521.0,8-13,Digital-Senior Process Manager- Data Scientist SPM
ICERTIS Solutions,Pune,pg,"IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Text mining, Cloud computing",,1291955.0,10-12,Senior Data Scientist
Oportun Inc,Chennai,Post-graduate,"Computer science, Administration, Logistic regression, SAS, Coding, MIS, Intellectual property, Financial services",full-time,,5-9,Sr Data Scientist
PayPal,Chennai,,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining",contract,853890.0,3-8,Data Scientist
TransOrg Solutions Services (P) Ltd.,"Noida, New Delhi, Gurgaon/Gurugram, Delhi / NCR, Mumbai (All Areas)",pg,"Machine Learning, Python, SQL, R, Logistic Regression, Computer Science, Client Servicing, Data Analysis",full-time,1370878.0,1-4,Data Scientist/ Analyst Specialist
2Coms,"Bangalore/Bengaluru, Bangalore North",Under-graduate,Data Scientist,contract,1811183.0,3-8,Data Scientist (freelance)
M/S NILE,Bangalore/Bengaluru,pg,"Java, python, NLP, MySQL, Machine Learning, Deep Learning",full-time,959132.0,4-8,Data Scientist
ZOLVE INNOVATIONS PRIVATE LIMITED,Bangalore/Bengaluru(Bellandur),ug,"Data Science, Pyspark, Algorithms, Machine Learning, Deep Learning",full-time,1134906.0,2-5,Data Scientist
Rolls Royce,Bangalore/Bengaluru,Post-graduate,"Matplotlib, Azure, GIT, Linux, Docker, Pandas, Python",contract,1900421.0,3-5,Rolls-Royce Data Labs : Data Scientist
Applied Materials,Bangalore/Bengaluru,pg,"data science, CNN, LSTM, numpy, Machine Learning, Deep Learning, Pytorch, pandas",contract,361796.0,7-10,Data Scientist
Walmart,Bangalore/Bengaluru,pg,"Product management, Data analysis, Image processing, Machine learning, Agile, Data quality, application architecture, SQL",contract,1575399.0,4-8,Staff Data Scientist
VISA,Bangalore/Bengaluru,UG,"Hadoop, IT Skills, Data Science, Computer science, Operations research, Interpersonal skills, Risk analytics, SCALA",contract,1900813.0,3-7,Data Scientist
IBM,Bangalore/Bengaluru,UG,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence",contract,1100045.0,10-12,Data Scientist: Artificial Intelligence
IBM,Bangalore/Bengaluru,,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence",,2315612.0,6-11,Data Scientist: Artificial Intelligence
Walmart,Bangalore/Bengaluru,Post-graduate,"IT Skills, Data Science, Machine Learning, Big Data, Text mining, Computer vision, Publishing, Web analytics",full-time,2408342.0,4-8,Staff Data Scientist
CRED,Bangalore/Bengaluru,Under-graduate,"Health insurance, Data analysis, Statistical modeling, data science, Machine learning, SCALA, Programming, Information retrieval",,1111187.0,1-5,Data Scientist
Leading US MNC into Analytics,"Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR",ug,"machine learning, IT Skills, Data Science, python, nlp",contract,1543466.0,2-7,Data Scientist / Machine learning Engineer- Python/NLP
BLEND360 INDIA PRIVATE LIMITED,Hyderabad/Secunderabad,UG,"Data Scientist, Market Mix Modelling, IT Skills, Python, Data Science, Cloud, AWS, Digital Marketing",contract,1654630.0,3-8,Senior/ Lead Data Scientist - Market Mix Modelling ( MMM)
IBM,Mumbai,pg,"Consulting, Machine learning, Healthcare, Presales, Python, Automation, data science, Analytical",,601318.0,5-10,Data Scientist-Client Engineering
HUDSON'S BAY SERVICES PRIVATE LIMITED,Bangalore/Bengaluru,UG,"python, machine learning, Artificial Intelligence",full-time,2226304.0,4-9,Sr. Data Scientist
Target,Bangalore/Bengaluru,Under-graduate,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL",full-time,509245.0,4-9,Sr Data Scientist
Knowledge Foundry Business Solutions Pvt. Ltd.,Bangalore/Bengaluru,Post-graduate,"python, Web Framework, Machine Learning, tensorflow, Django, Neural Networks, flask, artificial intelligence",full-time,802472.0,5-7,Senior Data Scientist -Python+ML(5-7 years)
Hanu Software Solutions,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Post-graduate,"Data Science, Artificial Intelligence, azure, IT Skills, Python, Machine Learning, Cloud, Big Data",full-time,1166567.0,13-20,Hiring Senior Data Scientist - AI ( Remote) || Hanu
Course5,"Bangalore/Bengaluru, Mumbai (All Areas)",Under-graduate,"statistics, Supply chain, gcp, aws",contract,1469441.0,5-9,Senior Data Scientist
PayU,"Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)",Post-graduate,"python, Django, pytorch, Text Mining, Predictive Analytics, Pattern Recognition, Natural Language Processing, Data Mining",,1184512.0,2-7,Data Scientist Opportunity with PayU - Diversity Hiring
PayPal,Bangalore/Bengaluru,PG,"Data analysis, Sales operations, Consulting, Machine learning, Data mining, Operations, Analytics, Financial services",contract,918770.0,4-8,Data Scientist 1
IBM,Bangalore/Bengaluru,Under-graduate,"IVR, Enterprise applications, Open source, LEX, Python, AWS services, Dynamo DB, analytical",full-time,1855589.0,3-7,Data Scientist: Advanced Analytics
IBM,Bangalore/Bengaluru,UG,"Interpersonal skills, Javascript, Open source, LEX, Python, advanced analytics, Architecture, Investigation",,1404951.0,3-7,Data Scientist: Advanced Analytics
IBM,Bangalore/Bengaluru,UG,"Enterprise applications, Open source, AWS, Analytics, LEX, IT Skills, Automation testing, Artificial Intelligence",full-time,2097745.0,3-7,Data Scientist: Artificial Intelligence
IBM,Bangalore/Bengaluru,pg,"IVR, Enterprise applications, Artificial Intelligence, Open source, Python, IT Skills, Java, AWS",contract,912923.0,3-7,Data Scientist: Artificial Intelligence
Ashkom Media India Private Limited,"Noida, Bangalore/Bengaluru",Post-graduate,"cloud, Hive, python, Hadoop, Big Data",contract,1327000.0,3-6,Data Scientist
IDFC FIRST Bank,"Mumbai, Pune, Bangalore/Bengaluru, Mumbai",,"Economics, stats Graduate, Data scientist, Machine Learning Eng",full-time,2499934.0,3-7,Associate Data Scientist
eClerx,Pune,ug,"Data Scientist, IT Skills, Project Management, BPO, project management, auditing, travel, story telling",contract,,4-6,Digital-Associate Process Manager - Data Scientist APM
Master Mind Consultancy,"Mumbai, Bangalore/Bengaluru",,"data science, Azure, NLP, Algorithms, Data Scientist, Cloud, AWS, Python",contract,,10-15,Data Scientist
cliqhr.com,Bangalore/Bengaluru,Under-graduate,"data mining, -, R, Tableau, communication, SQL, C++, Python",full-time,487335.0,5-8,Data Scientist
Hucon Solutions,Bangalore/Bengaluru,,"Data Analysis, analytics, Data modeling, IT Skills, Machine Learning, Tableau analytics, R, SQL",contract,621090.0,8-13,Data Scientist
cliqhr.com,Bangalore/Bengaluru,Under-graduate,"SQL, Analytical, Python, Tableau, communication, data mining, Hadoop, R",contract,2498426.0,5-10,Data Scientist
Target,Bangalore/Bengaluru,pg,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL",full-time,1919709.0,7-12,Lead Data Scientist
TransOrg Solutions Services (P) Ltd.,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",ug,"R, Python, SQL, Data Science, Data Manipulation, Artificial Intelligence, Linear Regression, Machine Learning",contract,2416914.0,4-9,Lead Data Scientist
PRUDENT GLOBALTECH SOLUTIONS PRIVATE LIMITED,Hyderabad/Secunderabad,Post-graduate,"python, IT Skills, Testing, Data Science, Cloud, AWS, Azure, Pytorch",contract,1552344.0,2-6,Data Scientist
Snaphunt,Gurgaon/Gurugram,pg,"data analysis, data mining, artificial neural networks, python, r, predictive modeling, segmentation, machine learning",full-time,1903602.0,2-5,Junior Data Scientist
EASY DATA ANALYTICS TECHNOLOGY PRIVATE LIMITED,Noida,Under-graduate,"Data Science, Hypothesis testing, Text mining, PowerBI, R, Tableau, GLM Algorithms, SQL",,523046.0,1-2,Junior Data Scientist
Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",UG,"Machine Learning, Data Science, SAS, Data Scientist, Statistics, Analytics, SQL",full-time,1439995.0,2-7,Assistant Manager/Manager/Senior Manager - Data Scientist
2Coms,"Mumbai, Mumbai",ug,"IT Skills, Java, Python, Machine Learning, Javascript, Data Scientist",contract,1397068.0,3-8,Data Scientist (freelance)
AutomationEdge,Pune,ug,"Training, deep learning, Backend, Linux, Artificial Intelligence, Machine learning, Transformers, Deployment",full-time,2059214.0,4-8,Data Scientist
Liases Foras Real Estate Rating and Research Private Limited,Mumbai Suburban,Post-graduate,"python, sql, Hadoop Administration, Hive, Periscope, Spark, Machine Learning",,2176509.0,5-10,Data Scientist
Groupon,Bangalore/Bengaluru,PG,"AWS services, Data Science, NLP, Neural Networks, Data Analysis, Data Mining, Machine Learning, Deep Learning",contract,1540005.0,3-6,Data Scientist II
ICAV Tech Pvt. Ltd.,Remote,ug,"Java, R, Python, IT Skills, Software Development, Testing, Quality Assurance, Javascript",contract,633476.0,2-7,Python Developer(Data Scientist)
Liquiloans,Mumbai,ug,"Data Scientist, Data Science, Scipy, Pandas, Scikit-learn, Numpy, programming, implementation skills",contract,,2-3,Data Scientist
TotalAI Systems India LLP,Remote,Under-graduate,"algorithms, Natural Language Processing, Deep Learning, IT Skills, Java, Python, Data Science, Tableau",full-time,2249252.0,4-7,Data Scientist
IBM,Ahmedabad,PG,"data science, Machine learning, Cloud, Open source, Python, IT Skills, Software Development, Testing",contract,,5-8,Mid Level Data Scientist
IBM,Kochi/Cochin,UG,"Software design, Machine learning, Open source, SQL, Python, Analytical skills, Analytical, Artificial Intelligence",full-time,1600638.0,4-8,Data Scientist
SIBIA Analytics and Consulting Services Pvt Ltd,Kolkata,,"Logistic Regression, MySQL, Natural Language Processing, Time Series, Python, sql, SQL queries, machine learning",full-time,965957.0,0-4,Data Scientist - Experienced/fresher | Kolkata
Amdocs,Pune,PG,"deep learning, python, data science, machine learning, SQL, Communication Skills, artificial intelligence",full-time,2375718.0,4-8,Data Scientist
Ericsson Global Services,Kolkata,PG,"Bidding, Data management, PHP, Google AdWords, HTML, microsoft, Data mining, Statistics",contract,1091437.0,4-8,Service Delivery _ OSS _ Data Scientist
Peoplefy Infosolutions Pvt. Ltd.,Pune(Kharadi),,"Data Science, Artificial Intelligence, Machine Learning, IT Skills, Python, Predictive Modeling, Natural Language Processing",full-time,1589046.0,6-11,Urgent Opening For Senior Data Scientist Role (Pune)
Ocrolus East,Gurgaon/Gurugram,pg,"Computer science, Automation, github, data science, Machine learning, Venture capital, Programming, Analytics",full-time,1714967.0,4-8,Senior Data Scientist
fountain9,Mumbai,pg,"IT Skills, Machine Learning, SAN, Statistical analysis, French, big data analytics, OOPS, Data structures",full-time,2375042.0,2-7,Sr . Data Scientist / Data Scientist
Evolent Health,Pune,pg,"Business Intelligence, IT Skills, Python, Testing, Credentialing, Medicare, Feedback, US Healthcare",contract,589363.0,2-6,Sr NLP & Text Mining Data Scientist
Creative Hands HR Consultancy,"Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Vadodara",Under-graduate,"python, Machine Learning, Data Scientist, IT Skills, PHP, Artificial Intelligence, software testing, freshers",full-time,1179026.0,0-4,"Data Scientist/ Machine Learning, 2022 Passout Can also apply"
techcarrot FZ LLC,Hyderabad/Secunderabad,UG,"IT Skills, Python, Data Science, Machine Learning, Cloud, DevOps, Azure, SAN",full-time,1092762.0,7-12,Senior Data Scientist
Tridiagonal Solutions Pvt. Ltd.,Pune,,"Relationship management, Mining, Computer science, Data management, Pharma, Consulting, Workflow, Data quality",full-time,1199468.0,3-8,Senior Data Scientist
PayPal,Chennai,ug,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining",full-time,1844835.0,4-8,Data Scientist 1
Muthoot Microfin,"Kochi/Cochin, Ernakulam",UG,"Predictive Modeling, Business Intelligence, Power Bi, Business Analytics, SAS, Qlik Sense, Scripting Languages, Data Mining",contract,1160702.0,3-8,Data Scientist
PayU Payments,Gurgaon/Gurugram,PG,"Pyspark, Fraud Modelling, Risk, Data Scientist, Python, SAS, predictive analytics, Big Data",contract,1271627.0,2-5,Data Scientist (Risk / Fraud Experience is must)
BNY Mellon,Pune,UG,"Training, advanced analytics, data science, Programming, Representative, Management, Financial services, Analytics",contract,399381.0,6-8,"Specialist, Data Scientist"
Salesforce,Hyderabad/Secunderabad,Under-graduate,"Data analysis, Production engineering, Machine learning, Salesforce.com, Open source, Analytics, SQL, Python",full-time,1556175.0,4-8,"Data Scientist, Enablement"
PayPal,Chennai,UG,"Computer science, Product engineering, data science, Project management, Consulting, Machine learning, Engineering Design, Financial services",full-time,986412.0,5-9,"Data Scientist, Product Analytics"
PayPal,Chennai,PG,"remediation, Data analysis, Project management, Analytical, Back office, linear regression, Analytics, Financial services",contract,1434875.0,4-8,Data Scientist
PayPal,Chennai,pg,"Computer science, Statistical programming, Data modeling, Analytical, Machine learning, QlikView, Business intelligence, Financial services",full-time,303836.0,4-8,Data Scientist 1
Impetus,Gurgaon/Gurugram,ug,"Natural Language, Hive, NLP, Vision, Hyperparameter tuning, Data Wrangling, Machine learning, TensorFlow",contract,,2-6,Data Scientist
CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Bangalore/Bengaluru",UG,"Logistic Regression, R programming, Python, Machine Learning, Statistical Modeling, analytical, advanced statistics, SQL",full-time,1995006.0,2-4,Sr. Associate - Data scientist -Affine.Ai
CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Bangalore/Bengaluru",UG,"advanced statistics, Python, analytical, Statistical Modeling, R programming, Machine Learning, Logistic Regression, IT Skills",full-time,2270132.0,2-4,Sr. Associate - Data scientist -Affine.Ai
KWALEE INDIA PRIVATE LIMITED,Bangalore/Bengaluru,UG,"Data Science, Tensorflow, NoSQL, Data Management, Statistical Modeling, Data Analysis, Machine Learning, Deep Learning",full-time,582516.0,1-6,Junior Data Scientist
Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,pg,"data analytics, Data Scientist, Machine Learning, Data analysis, python, SAS, data engineering, SQL",contract,2386869.0,4-9,Manager - Data Scientist - Analytics
Hucon Solutions,Kolkata,Under-graduate,"data scientist, Data modeling, analytics, IT Skills, Cloud, R, Tableau, machine learning",full-time,2167751.0,8-11,Need immediate joiners - Data Scientist
TalentCo Search Pvt Ltd,Pune,pg,"end-to-end, EDA, visualizations, insights, monitoring, modelling, problem scoping, R",contract,858350.0,8-12,Lead Data Scientist - CPG/BFSI/Healthcare Domain
Career Infosystem,Noida,,"Machine Learning, Predictive modeling, MongoDB, Spark, Python, Deep Learning stack, NLP, Hadoop",contract,2273631.0,1-5,Data Scientist - Machine Learning
Confidential,Hyderabad/Secunderabad,Under-graduate,"software development, Data Mining, Machine Learning, Java, C#, Hadoop, communication, C++",full-time,1887515.0,5-7,Data Analyst/data Scientist - C++/c#/java
